N,C++,Python,Meine Sprache
1,0,0.0,0
2,0,0.0,0
3,0,0.0,0
4,0,0.0,0
5,0,0.0,0
6,0,0.0,0
7,0,0.0,0
8,0,0.0,0
9,0,0.0,0
10,0,0.0,0
11,0,0.0,0
12,0,0.0,0
13,0,0.0,0
14,0,1.0,0
15,0,0.0,0
16,0,0.0,0
17,0,0.0,0
18,0,1.0,0
19,0,0.0,0
20,0,0.0,0
21,0,1.0,1
22,0,0.0,0
23,0,1.0,0
24,0,1.0,0
25,0,1.0,0
26,1,1.0,1
27,0,2.0,0
28,0,2.0,0
29,0,2.0,0
30,1,2.0,0
31,0,2.0,0
32,0,1.0,1
33,1,3.0,0
34,0,3.0,1
35,0,4.0,1
36,1,3.0,1
37,0,5.0,0
38,1,5.0,0
39,0,5.0,1
40,1,5.0,1
41,0,9.0,1
42,1,9.0,1
43,0,7.0,1
44,0,9.0,0
45,1,12.0,0
46,0,16.0,1
47,0,14.0,1
48,1,12.0,2
49,1,13.0,1
50,1,13.0,1
51,1,14.0,1
52,1,12.0,1
53,1,13.0,2
54,1,16.0,2
55,1,16.0,2
56,1,19.0,2
57,1,22.0,2
58,1,16.0,2
59,2,22.0,2
60,1,21.0,3
61,2,22.0,2
62,2,21.0,2
63,1,21.0,3
64,2,29.0,2
65,2,31.0,3
66,1,29.0,3
67,1,30.0,3
68,2,26.0,3
69,2,27.0,3
70,2,31.0,4
71,3,29.0,3
72,2,30.0,5
73,3,33.0,8
74,3,33.0,6
75,2,35.0,5
76,2,37.0,5
77,3,39.0,5
78,3,40.0,6
79,4,40.0,6
80,4,41.0,7
81,3,44.0,5
82,4,47.0,6
83,7,59.0,5
84,4,60.0,6
85,4,54.0,6
86,6,56.0,9
87,4,70.0,9
88,4,78.0,6
89,5,62.0,7
90,6,61.0,7
91,4,79.0,7
92,4,85.0,8
93,4,75.0,11
94,5,85.0,10
95,5,85.0,10
96,5,90.0,8
97,7,88.0,9
98,7,106.0,9
99,6,92.0,10
100,7,85.0,10
101,8,98.0,10
102,6,92.0,11
103,6,97.0,11
104,6,107.0,11
105,10,121.0,11
